Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;GiWLAN;C0:25:06:0D:6E:BB;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 20:52:18 2019;Sat Dec  7 21:04:34 2019;-75;0;0;51.277142;7.226921;0.884000;206.383499;51.280182;7.227643;1.116000;206.383499;51.277828;7.227346;1.028000;0;0;0.0.0.0;
18;infrastructure;WLAN-HC44JQ;3C:67:8C:81:88:10;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;1;0;0;1;;;Sat Dec  7 20:53:14 2019;Sat Dec  7 21:04:34 2019;-75;0;0;51.277374;7.227082;0.796000;178.413803;51.280182;7.227643;0.884000;178.413803;51.277374;7.227082;0.796000;0;0;0.0.0.0;
19;infrastructure;;1C:3A:DE:E3:9C:39;;13;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Sat Dec  7 21:04:29 2019;Sat Dec  7 21:04:33 2019;-77;0;0;51.280216;7.227670;1.581000;203.979996;51.280216;7.227670;1.581000;203.979996;51.280216;7.227670;1.581000;0;0;0.0.0.0;
20;infrastructure;WLAN-HC44JQ;68:FF:7B:B1:AB:BF;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Sat Dec  7 20:51:59 2019;Sat Dec  7 21:04:34 2019;-77;0;0;0.000000;0.000000;0.000000;0.000000;51.280182;7.227643;1.041000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Unitymedia WifiSpot;92:5C:14:7F:4B:D6;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 20:52:13 2019;Sat Dec  7 21:04:34 2019;-77;0;0;51.277813;7.227338;0.230000;50.972599;51.280182;7.227643;1.250000;50.972599;51.277866;7.227378;0.230000;0;0;0.0.0.0;
22;infrastructure;Unitymedia WifiSpot;AE:22:15:E4:C5:E9;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:34 2019;Sat Dec  7 21:04:34 2019;-78;0;0;51.280182;7.227643;0.884000;189.800003;51.280190;7.227652;1.090000;189.800003;51.280190;7.227652;1.090000;0;0;0.0.0.0;
23;infrastructure;UPC5279977;34:2C:C4:3B:08:97;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:04:33 2019;Sat Dec  7 21:04:33 2019;-78;0;0;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;187.130707;51.280190;7.227652;1.095000;0;0;0.0.0.0;
24;infrastructure;Unitymedia WifiSpot;3A:43:1D:90:F8:28;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:03:23 2019;Sat Dec  7 21:04:26 2019;-78;0;0;51.280102;7.227680;0.302000;1.503800;51.280247;7.228352;1.660000;1.503800;51.280102;7.228352;0.302000;0;0;0.0.0.0;
25;infrastructure;UPCB8BE695;90:5C:44:7F:4B:D6;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Sat Dec  7 20:52:12 2019;Sat Dec  7 21:04:34 2019;-80;0;0;51.277828;7.227346;0.884000;196.722504;51.280182;7.227643;1.279000;196.722504;51.277866;7.227386;1.279000;0;0;0.0.0.0;
26;infrastructure;UPC7C37B19;54:67:51:85:A8:00;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 21:03:36 2019;Sat Dec  7 21:04:02 2019;-58;0;0;51.280159;7.227906;0.223000;0.000000;51.280296;7.228266;0.922000;0.000000;51.280159;7.228266;0.223000;0;0;0.0.0.0;
